State,District,Party,Office Room,Phone,fist_name,last_name,full_name,committee_1,committee_2,committee_3,committee_4
California,4th,D,268 CHOB,(202) 225-3311,Thompson,Mike,Thompson Mike,Ways and Means,,,
California,5th,R,2256 RHOB,(202) 225-2511,McClintock,Tom,McClintock Tom,Budget,Natural Resources,Judiciary,
California,6th,D,172 CHOB,(202) 225-5716,Bera,Ami,Bera Ami,Foreign Affairs,Intelligence,Select Subcommittee on the Coronavirus Pandemic,
California,7th,D,2311 RHOB,(202) 225-7163,Matsui,Doris,Matsui Doris,Energy and Commerce,,,
California,8th,D,2004 RHOB,(202) 225-1880,Garamendi,John,Garamendi John,Armed Services,Select Subcommittee on the Weaponization of the Fed Govt,Transportation and Infrastructure,
California,9th,D,209 CHOB,(202) 225-4540,Harder,Josh,Harder Josh,Appropriations,,,
California,10th,D,503 CHOB,(202) 225-2095,DeSaulnier,Mark,DeSaulnier Mark,Education and the Workforce,Transportation and Infrastructure,Ethics,
California,11th,D,1236 LHOB,(202) 225-4965,Pelosi,Nancy,Pelosi Nancy,,,,
California,12th,D,2470 RHOB,(202) 225-2661,Lee,Barbara,Lee Barbara,Appropriations,Budget,,
California,13th,R,1535 LHOB,(202) 225-1947,Duarte,John,Duarte John,Agriculture,Natural Resources,Transportation and Infrastructure,
California,14th,D,174 CHOB,(202) 225-5065,Swalwell,Eric,Swalwell Eric,Homeland Security,Judiciary,,
California,15th,D,1404 LHOB,(202) 225-3531,Mullin,Kevin,Mullin Kevin,Natural Resources,"Science, Space, and Technology",,
California,16th,D,272 CHOB,(202) 225-8104,Eshoo,Anna,Eshoo Anna,Energy and Commerce,,,
California,17th,D,306 CHOB,(202) 225-2631,Khanna,Ro,Khanna Ro,Armed Services,Oversight and Accountability,Select Comm on the Strategic Competition US and China,
California,18th,D,1401 LHOB,(202) 225-3072,Lofgren,Zoe,Lofgren Zoe,Judiciary,"Science, Space, and Technology",,
California,19th,D,304 CHOB,(202) 225-2861,Panetta,Jimmy,Panetta Jimmy,Armed Services,Budget,Ways and Means,
California,20th,R,2468 RHOB,(202) 225-2915,McCarthy,Kevin- Vacancy,McCarthy Kevin- Vacancy,,,,
California,21st,D,2081 RHOB,(202) 225-3341,Costa,Jim,Costa Jim,Agriculture,Foreign Affairs,,
California,22nd,R,2465 RHOB,(202) 225-4695,Valadao,David,Valadao David,Appropriations,Budget,,
California,23rd,R,1029 LHOB,(202) 225-5861,Obernolte,Jay,Obernolte Jay,Energy and Commerce,"Science, Space, and Technology",,
California,24th,D,2331 RHOB,(202) 225-3601,Carbajal,Salud,Carbajal Salud,Agriculture,Armed Services,Transportation and Infrastructure,
California,25th,D,2342 RHOB,(202) 225-5330,Ruiz,Raul,Ruiz Raul,Energy and Commerce,Select Subcommittee on the Coronavirus Pandemic,,
California,26th,D,2262 RHOB,(202) 225-5811,Brownley,Julia,Brownley Julia,Transportation and Infrastructure,Veterans' Affairs,,
California,27th,R,144 CHOB,(202) 225-1956,Garcia,Mike,Garcia Mike,Appropriations,Intelligence,"Science, Space, and Technology",
California,28th,D,2423 RHOB,(202) 225-5464,Chu,Judy,Chu Judy,Small Business,Ways and Means,,
California,29th,D,2181 RHOB,(202) 225-6131,Cardenas,Tony,Cardenas Tony,Energy and Commerce,,,
California,30th,D,2309 RHOB,(202) 225-4176,Schiff,Adam,Schiff Adam,Judiciary,,,
California,31st,D,1610 LHOB,(202) 225-5256,Napolitano,Grace,Napolitano Grace,Natural Resources,Transportation and Infrastructure,,
California,32nd,D,2365 RHOB,(202) 225-5911,Sherman,Brad,Sherman Brad,Financial Services,Foreign Affairs,,
California,33rd,D,108 CHOB,(202) 225-3201,Aguilar,Pete,Aguilar Pete,Appropriations,,,
California,34th,D,506 CHOB,(202) 225-6235,Gomez,Jimmy,Gomez Jimmy,Intelligence,Ways and Means,,
California,35th,D,2227 RHOB,(202) 225-6161,Torres,Norma,Torres Norma,Appropriations,House Administration,,
California,36th,D,2454 RHOB,(202) 225-3976,Lieu,Ted,Lieu Ted,Foreign Affairs,Judiciary,,
California,37th,D,1419 LHOB,(202) 225-7084,Kamlager-Dove,Sydney,Kamlager-Dove Sydney,Foreign Affairs,Natural Resources,,
California,38th,D,2428 RHOB,(202) 225-6676,Sanchez,Linda,Sanchez Linda,Select Subcommittee on the Weaponization of the Fed Govt,Ways and Means,,
California,39th,D,2078 RHOB,(202) 225-2305,Takano,Mark,Takano Mark,Education and the Workforce,Veterans' Affairs,,
California,40th,R,1306 LHOB,(202) 225-4111,Kim,Young,Kim Young,Financial Services,Foreign Affairs,,
California,41st,R,2205 RHOB,(202) 225-1986,Calvert,Ken,Calvert Ken,Appropriations,,,
California,42nd,D,1305 LHOB,(202) 225-7924,Garcia,Robert,Garcia Robert,Oversight and Accountability,Homeland Security,Select Subcommittee on the Coronavirus Pandemic,
California,43rd,D,2221 RHOB,(202) 225-2201,Waters,Maxine,Waters Maxine,Financial Services,,,
California,44th,D,2312 RHOB,(202) 225-8220,Barragan,Nanette,Barragan Nanette,Energy and Commerce,,,
California,45th,R,1127 LHOB,(202) 225-2415,Steel,Michelle,Steel Michelle,Education and the Workforce,Ways and Means,Select Comm on the Strategic Competition US and China,
California,46th,D,2301 RHOB,(202) 225-2965,Correa,J.,Correa J.,Homeland Security,Judiciary,,
California,47th,D,1233 LHOB,(202) 225-5611,Porter,Katie,Porter Katie,Oversight and Accountability,Natural Resources,,
California,48th,R,2108 RHOB,(202) 225-5672,Issa,Darrell,Issa Darrell,Foreign Affairs,Select Subcommittee on the Weaponization of the Fed Govt,Judiciary,"Science, Space, and Technology"
California,49th,D,2352 RHOB,(202) 225-3906,Levin,Mike,Levin Mike,Natural Resources,Veterans' Affairs,,
California,50th,D,1201 LHOB,(202) 225-0508,Peters,Scott,Peters Scott,Budget,Energy and Commerce,,
California,51st,D,1314 LHOB,(202) 225-2040,Jacobs,Sara,Jacobs Sara,Armed Services,Foreign Affairs,,
California,52nd,D,2334 RHOB,(202) 225-8045,Vargas,Juan,Vargas Juan,Financial Services,,,
Colorado,1st,D,2111 RHOB,(202) 225-4431,DeGette,Diana,DeGette Diana,Energy and Commerce,,,
Colorado,2nd,D,2400 RHOB,(202) 225-2161,Neguse,Joe,Neguse Joe,Natural Resources,Judiciary,Rules,
Colorado,3rd,R,1713 LHOB,(202) 225-4761,Boebert,Lauren,Boebert Lauren,Oversight and Accountability,Natural Resources,,
Colorado,4th,R,2455 RHOB,(202) 225-4676,Buck,Ken- Vacancy,Buck Ken- Vacancy,,,,
Colorado,5th,R,2371 RHOB,(202) 225-4422,Lamborn,Doug,Lamborn Doug,Armed Services,Natural Resources,,
Colorado,6th,D,1323 LHOB,(202) 225-7882,Crow,Jason,Crow Jason,Foreign Affairs,Intelligence,,
Colorado,7th,D,1230 LHOB,(202) 225-2645,Pettersen,Brittany,Pettersen Brittany,Financial Services,,,
Colorado,8th,D,1024 LHOB,(202) 225-5625,Caraveo,Yadira,Caraveo Yadira,Agriculture,"Science, Space, and Technology",,
Connecticut,1st,D,1501 LHOB,(202) 225-2265,Larson,John,Larson John,Ways and Means,,,
Connecticut,2nd,D,2449 RHOB,(202) 225-2076,Courtney,Joe,Courtney Joe,Armed Services,Education and the Workforce,,
Connecticut,3rd,D,2413 RHOB,(202) 225-3661,DeLauro,Rosa,DeLauro Rosa,Appropriations,,,
Connecticut,4th,D,2137 RHOB,(202) 225-5541,Himes,James,Himes James,Financial Services,Intelligence,,
Connecticut,5th,D,2458 RHOB,(202) 225-4476,Hayes,Jahana,Hayes Jahana,Agriculture,Education and the Workforce,,
Delaware,At Large,D,1724 LHOB,(202) 225-4165,Blunt Rochester,Lisa,Blunt Rochester Lisa,Energy and Commerce,,,
District of Columbia,Delegate,D,2136 RHOB,(202) 225-8050,Norton,Eleanor,Norton Eleanor,Oversight and Accountability,Transportation and Infrastructure,,
Florida,1st,R,2021 RHOB,(202) 225-4136,Gaetz,Matt,Gaetz Matt,Armed Services,Select Subcommittee on the Weaponization of the Fed Govt,Judiciary,
Florida,2nd,R,466 CHOB,(202) 225-5235,Dunn,Neal,Dunn Neal,Energy and Commerce,Select Comm on the Strategic Competition US and China,,
Florida,3rd,R,2421 RHOB,(202) 225-5744,Cammack,Kat,Cammack Kat,Agriculture,Select Subcommittee on the Weaponization of the Fed Govt,Energy and Commerce,
Florida,4th,R,1239 LHOB,(202) 225-0123,Bean,Aaron,Bean Aaron,Education and the Workforce,Transportation and Infrastructure,Small Business,
Florida,5th,R,1711 LHOB,(202) 225-2501,Rutherford,John,Rutherford John,Appropriations,Ethics,,
Florida,6th,R,244 CHOB,(202) 225-2706,Waltz,Michael,Waltz Michael,Armed Services,Foreign Affairs,Oversight and Accountability,Intelligence
Florida,7th,R,1237 LHOB,(202) 225-4035,Mills,Cory,Mills Cory,Armed Services,Foreign Affairs,,
Florida,8th,R,2150 RHOB,(202) 225-3671,Posey,Bill,Posey Bill,Financial Services,"Science, Space, and Technology",,
Florida,9th,D,2353 RHOB,(202) 225-9889,Soto,Darren,Soto Darren,Agriculture,Energy and Commerce,,
Florida,10th,D,1224 LHOB,(202) 225-2176,Frost,Maxwell,Frost Maxwell,Oversight and Accountability,"Science, Space, and Technology",,
Florida,11th,R,2184 RHOB,(202) 225-1002,Webster,Daniel,Webster Daniel,Natural Resources,Transportation and Infrastructure,"Science, Space, and Technology",
Florida,12th,R,2306 RHOB,(202) 225-5755,Bilirakis,Gus,Bilirakis Gus,Energy and Commerce,,,
Florida,13th,R,1017 LHOB,(202) 225-5961,Luna,Anna Paulina,Luna Anna Paulina,Oversight and Accountability,Natural Resources,,
Florida,14th,D,2052 RHOB,(202) 225-3376,Castor,Kathy,Castor Kathy,Energy and Commerce,Select Comm on the Strategic Competition US and China,,
Florida,15th,R,1118 LHOB,(202) 225-5626,Lee,Laurel,Lee Laurel,House Administration,Homeland Security,Judiciary,
Florida,16th,R,2110 RHOB,(202) 225-5015,Buchanan,Vern,Buchanan Vern,Joint Committee on Taxation,Ways and Means,,
Florida,17th,R,2457 RHOB,(202) 225-5792,Steube,W.,Steube W.,Select Subcommittee on the Weaponization of the Fed Govt,Ways and Means,,
Florida,18th,R,249 CHOB,(202) 225-1252,Franklin,Scott,Franklin Scott,Appropriations,"Science, Space, and Technology",Veterans' Affairs,
Florida,19th,R,1719 LHOB,(202) 225-2536,Donalds,Byron,Donalds Byron,Financial Services,Oversight and Accountability,,
Florida,20th,D,242 CHOB,(202) 225-1313,Cherfilus-McCormick,Sheila,Cherfilus-McCormick Sheila,Foreign Affairs,Veterans' Affairs,,
Florida,21st,R,2182 RHOB,(202) 225-3026,Mast,Brian,Mast Brian,Foreign Affairs,Transportation and Infrastructure,,
Florida,22nd,D,2305 RHOB,(202) 225-9890,Frankel,Lois,Frankel Lois,Appropriations,,,
Florida,23rd,D,1130 LHOB,(202) 225-3001,Moskowitz,Jared,Moskowitz Jared,Foreign Affairs,Oversight and Accountability,,
Florida,24th,D,2080 RHOB,(202) 225-4506,Wilson,Frederica,Wilson Frederica,Education and the Workforce,Transportation and Infrastructure,,
Florida,25th,D,270 CHOB,(202) 225-7931,Wasserman Schultz,Debbie,Wasserman Schultz Debbie,Appropriations,Select Subcommittee on the Weaponization of the Fed Govt,,
Florida,26th,R,374 CHOB,(202) 225-4211,Diaz-Balart,Mario,Diaz-Balart Mario,Appropriations,,,
Florida,27th,R,2162 RHOB,(202) 225-3931,Salazar,Maria,Salazar Maria,Foreign Affairs,Small Business,,
Florida,28th,R,448 CHOB,(202) 225-2778,Gimenez,Carlos,Gimenez Carlos,Armed Services,Homeland Security,Select Comm on the Strategic Competition US and China,
Georgia,1st,R,2432 RHOB,(202) 225-5831,Carter,Earl,Carter Earl,Budget,Energy and Commerce,,
Georgia,2nd,D,2407 RHOB,(202) 225-3631,Bishop,Sanford,Bishop Sanford,Agriculture,Appropriations,,
Georgia,3rd,R,2239 RHOB,(202) 225-5901,Ferguson,A.,Ferguson A.,Budget,Ways and Means,,
Georgia,4th,D,2240 RHOB,(202) 225-1605,Johnson,Henry,Johnson Henry,Judiciary,Transportation and Infrastructure,,
Georgia,5th,D,1406 LHOB,(202) 225-3801,Williams,Nikema,Williams Nikema,Financial Services,,,
Georgia,6th,R,1213 LHOB,(202) 225-4272,McCormick,Richard,McCormick Richard,Armed Services,Foreign Affairs,"Science, Space, and Technology",Select Subcommittee on the Coronavirus Pandemic
Georgia,7th,D,2246 RHOB,(202) 225-4501,McBath,Lucy,McBath Lucy,Education and the Workforce,Judiciary,,
Georgia,8th,R,2185 RHOB,(202) 225-6531,Scott,Austin,Scott Austin,Agriculture,Armed Services,Intelligence,
Georgia,9th,R,445 CHOB,(202) 225-9893,Clyde,Andrew,Clyde Andrew,Appropriations,,,
Georgia,10th,R,1223 LHOB,(202) 225-4101,Collins,Mike,Collins Mike,Natural Resources,Transportation and Infrastructure,"Science, Space, and Technology",
Georgia,11th,R,2133 RHOB,(202) 225-2931,Loudermilk,Barry,Loudermilk Barry,Financial Services,House Administration,,
Georgia,12th,R,462 CHOB,(202) 225-2823,Allen,Rick,Allen Rick,Education and the Workforce,Energy and Commerce,,
Georgia,13th,D,468 CHOB,(202) 225-2939,Scott,David,Scott David,Agriculture,Financial Services,,
Georgia,14th,R,403 CHOB,(202) 225-5211,Greene,Marjorie,Greene Marjorie,Oversight and Accountability,Homeland Security,Select Subcommittee on the Coronavirus Pandemic,
Guam,Delegate,R,1628 LHOB,(202) 225-1188,Moylan,James,Moylan James,Armed Services,Natural Resources,,
Hawaii,1st,D,2210 RHOB,(202) 225-2726,Case,Ed,Case Ed,Appropriations,Natural Resources,,
Hawaii,2nd,D,1005 LHOB,(202) 225-4906,Tokuda,Jill,Tokuda Jill,Agriculture,Armed Services,Select Subcommittee on the Coronavirus Pandemic,
Idaho,1st,R,1514 LHOB,(202) 225-6611,Fulcher,Russ,Fulcher Russ,Energy and Commerce,Natural Resources,,
Idaho,2nd,R,2084 RHOB,(202) 225-5531,Simpson,Michael,Simpson Michael,Appropriations,,,
Illinois,1st,D,1641 LHOB,(202) 225-4372,Jackson,Jonathan,Jackson Jonathan,Agriculture,Foreign Affairs,,
Illinois,2nd,D,2329 RHOB,(202) 225-0773,Kelly,Robin,Kelly Robin,Energy and Commerce,,,
Illinois,3rd,D,1523 LHOB,(202) 225-5701,Ramirez,Delia,Ramirez Delia,Homeland Security,Veterans' Affairs,,
Illinois,4th,D,1519 LHOB,(202) 225-8203,Garcia,Jesus,Garcia Jesus,Transportation and Infrastructure,,,
Illinois,5th,D,2083 RHOB,(202) 225-4061,Quigley,Mike,Quigley Mike,Appropriations,,,
Illinois,6th,D,2440 RHOB,(202) 225-4561,Casten,Sean,Casten Sean,Financial Services,"Science, Space, and Technology",,
Illinois,7th,D,2159 RHOB,(202) 225-5006,Davis,Danny,Davis Danny,Ways and Means,,,
Illinois,8th,D,2367 RHOB,(202) 225-3711,Krishnamoorthi,Raja,Krishnamoorthi Raja,Oversight and Accountability,Intelligence,Select Comm on the Strategic Competition US and China,
Illinois,9th,D,2408 RHOB,(202) 225-2111,Schakowsky,Janice,Schakowsky Janice,Budget,Energy and Commerce,,
Illinois,10th,D,300 CHOB,(202) 225-4835,Schneider,Bradley,Schneider Bradley,Foreign Affairs,Ways and Means,,
Illinois,11th,D,2366 RHOB,(202) 225-3515,Foster,Bill,Foster Bill,Financial Services,,,
Illinois,12th,R,352 CHOB,(202) 225-5661,Bost,Mike,Bost Mike,Agriculture,Transportation and Infrastructure,Veterans' Affairs,
Illinois,13th,D,1009 LHOB,(202) 225-2371,Budzinski,Nikki,Budzinski Nikki,Agriculture,Veterans' Affairs,,
Illinois,14th,D,1410 LHOB,(202) 225-2976,Underwood,Lauren,Underwood Lauren,Appropriations,,,
Illinois,15th,R,1740 LHOB,(202) 225-5271,Miller,Mary,Miller Mary,Agriculture,Education and the Workforce,,
Illinois,16th,R,1424 LHOB,(202) 225-6201,LaHood,Darin,LaHood Darin,Intelligence,Ways and Means,Select Comm on the Strategic Competition US and China,
Illinois,17th,D,1205 LHOB,(202) 225-5905,Sorensen,Eric,Sorensen Eric,Agriculture,"Science, Space, and Technology",,
Indiana,1st,D,1607 LHOB,(202) 225-2461,Mrvan,Frank,Mrvan Frank,Education and the Workforce,Veterans' Affairs,,
Indiana,2nd,R,349 CHOB,(202) 225-3915,Yakym,Rudy,Yakym Rudy,Budget,Transportation and Infrastructure,,
Indiana,3rd,R,2418 RHOB,(202) 225-4436,Banks,Jim,Banks Jim,Armed Services,Education and the Workforce,Select Comm on the Strategic Competition US and China,
Indiana,4th,R,2303 RHOB,(202) 225-5037,Baird,James,Baird James,Agriculture,Foreign Affairs,"Science, Space, and Technology",
Indiana,5th,R,1609 LHOB,(202) 225-2276,Spartz,Victoria,Spartz Victoria,Judiciary,,,
Indiana,6th,R,404 CHOB,(202) 225-3021,Pence,Greg,Pence Greg,Energy and Commerce,,,
Indiana,7th,D,2135 RHOB,(202) 225-4011,Carson,Andre,Carson Andre,Intelligence,Transportation and Infrastructure,Select Comm on the Strategic Competition US and China,
Indiana,8th,R,2313 RHOB,(202) 225-4636,Bucshon,Larry,Bucshon Larry,Energy and Commerce,,,
Indiana,9th,R,1632 LHOB,(202) 225-5315,Houchin,Erin,Houchin Erin,Financial Services,Education and the Workforce,Rules,
Iowa,1st,R,1034 LHOB,(202) 225-6576,Miller-Meeks,Mariannette,Miller-Meeks Mariannette,Energy and Commerce,Select Subcommittee on the Coronavirus Pandemic,Veterans' Affairs,
Iowa,2nd,R,1717 LHOB,(202) 225-2911,Hinson,Ashley,Hinson Ashley,Appropriations,Select Comm on the Strategic Competition US and China,,
Iowa,3rd,R,1232 LHOB,(202) 225-5476,Nunn,Zachary,Nunn Zachary,Agriculture,Financial Services,,
Iowa,4th,R,1440 LHOB,(202) 225-4426,Feenstra,Randy,Feenstra Randy,Agriculture,Ways and Means,,
Kansas,1st,R,344 CHOB,(202) 225-2715,Mann,Tracey,Mann Tracey,Agriculture,Transportation and Infrastructure,Small Business,
Kansas,2nd,R,2441 RHOB,(202) 225-6601,LaTurner,Jake,LaTurner Jake,Appropriations,Oversight and Accountability,,
Kansas,3rd,D,2435 RHOB,(202) 225-2865,Davids,Sharice,Davids Sharice,Agriculture,Transportation and Infrastructure,Small Business,
Kansas,4th,R,2234 RHOB,(202) 225-6216,Estes,Ron,Estes Ron,Budget,Education and the Workforce,Ways and Means,
Kentucky,1st,R,2410 RHOB,(202) 225-3115,Comer,James,Comer James,Education and the Workforce,Oversight and Accountability,,
Kentucky,2nd,R,2434 RHOB,(202) 225-3501,Guthrie,Brett,Guthrie Brett,Energy and Commerce,,,
Kentucky,3rd,D,1527 LHOB,(202) 225-5401,McGarvey,Morgan,McGarvey Morgan,Small Business,Veterans' Affairs,,
Kentucky,4th,R,2453 RHOB,(202) 225-3465,Massie,Thomas,Massie Thomas,Select Subcommittee on the Weaponization of the Fed Govt,Judiciary,Transportation and Infrastructure,Rules
Kentucky,5th,R,2406 RHOB,(202) 225-4601,Rogers,Harold,Rogers Harold,Appropriations,,,
Kentucky,6th,R,2430 RHOB,(202) 225-4706,Barr,Andy,Barr Andy,Financial Services,Foreign Affairs,Select Comm on the Strategic Competition US and China,
Louisiana,1st,R,2049 RHOB,(202) 225-3015,Scalise,Steve,Scalise Steve,,,,
Louisiana,2nd,D,442 CHOB,(202) 225-6636,Carter,Troy,Carter Troy,Homeland Security,Transportation and Infrastructure,,
Louisiana,3rd,R,572 CHOB,(202) 225-2031,Higgins,Clay,Higgins Clay,Oversight and Accountability,Homeland Security,,
Louisiana,4th,R,568 CHOB,(202) 225-2777,Johnson,Mike,Johnson Mike,,,,
Louisiana,5th,R,142 CHOB,(202) 225-8490,Letlow,Julia,Letlow Julia,Appropriations,Education and the Workforce,,
Louisiana,6th,R,2402 RHOB,(202) 225-3901,Graves,Garret,Graves Garret,Natural Resources,Transportation and Infrastructure,,
Maine,1st,D,2354 RHOB,(202) 225-6116,Pingree,Chellie,Pingree Chellie,Agriculture,Appropriations,,
Maine,2nd,D,1710 LHOB,(202) 225-6306,Golden,Jared,Golden Jared,Armed Services,Small Business,,
Maryland,1st,R,1536 LHOB,(202) 225-5311,Harris,Andy,Harris Andy,Appropriations,,,
Maryland,2nd,D,2206 RHOB,(202) 225-3061,Ruppersberger,C.,Ruppersberger C.,Appropriations,,,
Maryland,3rd,D,2370 RHOB,(202) 225-4016,Sarbanes,John,Sarbanes John,Energy and Commerce,,,
Maryland,4th,D,1529 LHOB,(202) 225-8699,Ivey,Glenn,Ivey Glenn,Homeland Security,Judiciary,Ethics,
Maryland,5th,D,1705 LHOB,(202) 225-4131,Hoyer,Steny,Hoyer Steny,Appropriations,,,
Maryland,6th,D,2404 RHOB,(202) 225-2721,Trone,David,Trone David,Appropriations,Budget,,
Maryland,7th,D,2263 RHOB,(202) 225-4741,Mfume,Kweisi,Mfume Kweisi,Oversight and Accountability,Small Business,Select Subcommittee on the Coronavirus Pandemic,
Maryland,8th,D,2242 RHOB,(202) 225-5341,Raskin,Jamie,Raskin Jamie,Oversight and Accountability,,,
Massachusetts,1st,D,372 CHOB,(202) 225-5601,Neal,Richard,Neal Richard,Joint Committee on Taxation,Ways and Means,,
Massachusetts,2nd,D,370 CHOB,(202) 225-6101,McGovern,James,McGovern James,Agriculture,Rules,,
Massachusetts,3rd,D,2439 RHOB,(202) 225-3411,Trahan,Lori,Trahan Lori,Energy and Commerce,,,
Massachusetts,4th,D,1524 LHOB,(202) 225-5931,Auchincloss,Jake,Auchincloss Jake,Transportation and Infrastructure,Select Comm on the Strategic Competition US and China,,
Massachusetts,5th,D,2368 RHOB,(202) 225-2836,Clark,Katherine,Clark Katherine,,,,
Massachusetts,6th,D,1126 LHOB,(202) 225-8020,Moulton,Seth,Moulton Seth,Armed Services,Transportation and Infrastructure,Select Comm on the Strategic Competition US and China,
Massachusetts,7th,D,402 CHOB,(202) 225-5111,Pressley,Ayanna,Pressley Ayanna,Financial Services,Oversight and Accountability,,
Massachusetts,8th,D,2109 RHOB,(202) 225-8273,Lynch,Stephen,Lynch Stephen,Financial Services,Select Subcommittee on the Weaponization of the Fed Govt,Oversight and Accountability,
Massachusetts,9th,D,2351 RHOB,(202) 225-3111,Keating,William,Keating William,Armed Services,Foreign Affairs,,
Michigan,1st,R,566 CHOB,(202) 225-4735,Bergman,Jack,Bergman Jack,Armed Services,Budget,Veterans' Affairs,
Michigan,2nd,R,246 CHOB,(202) 225-3561,Moolenaar,John,Moolenaar John,Appropriations,Select Comm on the Strategic Competition US and China,,
Michigan,3rd,D,1317 LHOB,(202) 225-3831,Scholten,Hillary,Scholten Hillary,Transportation and Infrastructure,Small Business,,
Michigan,4th,R,2232 RHOB,(202) 225-4401,Huizenga,Bill,Huizenga Bill,Financial Services,Foreign Affairs,,
Michigan,5th,R,2266 RHOB,(202) 225-6276,Walberg,Tim,Walberg Tim,Education and the Workforce,Energy and Commerce,,
Michigan,6th,D,102 CHOB,(202) 225-4071,Dingell,Debbie,Dingell Debbie,Energy and Commerce,Natural Resources,Select Subcommittee on the Coronavirus Pandemic,
Michigan,7th,D,2245 RHOB,(202) 225-4872,Slotkin,Elissa,Slotkin Elissa,Agriculture,Armed Services,,
Michigan,8th,D,200 CHOB,(202) 225-3611,Kildee,Daniel,Kildee Daniel,Budget,Ways and Means,,
Michigan,9th,R,444 CHOB,(202) 225-2106,McClain,Lisa,McClain Lisa,Armed Services,Budget,Education and the Workforce,Oversight and Accountability
Michigan,10th,R,1319 LHOB,(202) 225-4961,James,John,James John,Education and the Workforce,Foreign Affairs,Transportation and Infrastructure,
Michigan,11th,D,2411 RHOB,(202) 225-8171,Stevens,Haley,Stevens Haley,Education and the Workforce,"Science, Space, and Technology",Select Comm on the Strategic Competition US and China,
Michigan,12th,D,2438 RHOB,(202) 225-5126,Tlaib,Rashida,Tlaib Rashida,Financial Services,Oversight and Accountability,,
Michigan,13th,D,1039 LHOB,(202) 225-5802,Thanedar,Shri,Thanedar Shri,Homeland Security,Small Business,,
Minnesota,1st,R,1605 LHOB,(202) 225-2472,Finstad,Brad,Finstad Brad,Agriculture,Armed Services,,
Minnesota,2nd,D,2442 RHOB,(202) 225-2271,Craig,Angie,Craig Angie,Agriculture,Energy and Commerce,,
Minnesota,3rd,D,2452 RHOB,(202) 225-2871,Phillips,Dean,Phillips Dean,Foreign Affairs,Small Business,,
